#Solid temperature at x [m] from FDM
#time [s]	x=2.5	x=5	x=7.5	x=10
15120.0	414.36939580445073	459.24229116969434	503.5874032747593	545.6400302864295
15180.0	414.3785485679695	459.26708927046326	503.6370019623385	545.7246579608118
15240.0	414.3875209568536	459.2914095542637	503.685679413168	545.8077866238647
15300.0	414.39631662052443	459.31526124310915	503.7334523609457	545.8894415981313
15360.0	414.40493912757245	459.3386533937161	503.78033724718694	545.9696478120849
15420.0	414.4133919726315	459.3615948715796	503.8263502259725	546.0484298053505
15480.0	414.42167857771966	459.3840943864087	503.8715071686061	546.1258117336776
15540.0	414.4298022930875	459.40616046626087	503.91582366823684	546.2018173744266
15600.0	414.4377663988154	459.4278014878617	503.95931504439386	546.2764701316077
15660.0	414.4455741063427	459.4490256512799	504.0019963474871	546.3497930409252
15720.0	414.4532285599872	459.4698410150112	504.0438823631761	546.4218087740097
15780.0	414.4607328384191	459.49025546541156	504.0849876167751	546.492539645177
15840.0	414.4680899561082	459.51027674643825	504.1253263799894	546.5620076140716
15900.0	414.4753028647161	459.5299124528903	504.16491266918894	546.6302342921224
15960.0	414.4823744571953	459.5491700246285	504.2037602531715	546.6972409472485
16020.0	414.48930756279896	459.56805676489046	504.24188265808027	546.7630485077302
16080.0	414.4961049519424	459.5865798377209	504.2792931734203	546.8276775676912
16140.0	414.5027693385709	459.6047462595329	504.31600485050853	546.8911483913736
16200.0	414.50930338037404	459.6225629165754	504.35203050626455	546.95348091817
16260.0	414.5157096800177	459.6400365627676	504.38738273580475	547.014694766826
16320.0	414.5219907878784	459.6571738240953	504.42207390779845	547.0748092403201
16380.0	414.5281492060009	459.6739811902925	504.45611616615133	547.1338433299314
16440.0	414.53418737272483	459.6904650301856	504.4895214504314	547.1918157197283
16500.0	414.54010768233275	459.70663158942284	504.52230147163925	547.2487447911085
16560.0	414.54591247977135	459.72248699285933	504.55446774574403	547.304648628106
16620.0	414.55160407317726	459.738037246865	504.5860315720932	547.3595450189015
16680.0	414.55718470253476	459.7532882416468	504.61700405731693	547.4134514641347
16740.0	414.5626565703949	459.76824575350963	504.6473960992964	547.466385176657
16800.0	414.5680218421179	459.7829154479669	504.67721841293	547.5183630892202
16860.0	414.5732826329003	459.79730287832916	504.70648150615455	547.5694018574469
16920.0	414.5784410060168	459.8114134919985	504.7351957134026	547.6195178625818
16980.0	414.5834989980024	459.82525263100445	504.76337117147665	547.668727217359
17040.0	414.58845859751307	459.8388255340255	504.79101783811524	547.7170457692189
17100.0	414.5933217417344	459.85213733945176	504.818145500973	547.7644891041939
17160.0	414.5980903526733	459.86519308521457	504.844763756186	547.8110725508777
17220.0	414.6027662886168	459.8779977111876	504.8708820346138	547.8568111841632
17280.0	414.60735137987126	459.89055606224105	504.8965096017944	547.9017198290211
17340.0	414.6118474310686	459.90287288938896	504.9216555478042	547.9458130642869
17400.0	414.61625618155153	459.9149528517794	504.9463287998223	547.9891052265682
17460.0	414.62057937463516	459.9268005183363	504.9705381253371	548.0316104131274
17520.0	414.6248186764069	459.93842036956534	504.9942921347206	548.0733424877614
17580.0	414.6289757544142	459.94981679927554	505.01759928213374	548.1143150804716
17640.0	414.6330522175398	459.9609941233189	505.0404678635992	548.1545415938158
17700.0	414.63704965892197	459.9719565612098	505.06290602791466	548.1940352076341
17760.0	414.64096962871	459.98270825621705	505.0849217758883	548.2328088772684
17820.0	414.64481365288947	459.99325327172244	505.1065229629188	548.2708753435112
17880.0	414.64858322088764	460.0035955952791	505.12771730148717	548.3082471297687
17940.0	414.6522797990091	460.01373914006376	505.14851236368696	548.3449365516276
18000.0	414.6559048135151	460.0236877307678	505.1689155836768	548.3809557134728
18060.0	414.6594596787842	460.03344512515287	505.18893426007725	548.4163165165916
18120.0	414.66294575485017	460.0430150160182	505.2085755583726	548.4510306620354
18180.0	414.666364412394	460.0524010162729	505.2278465132254	548.485109650048
18240.0	414.66971694573493	460.061606664021	505.24675403077316	548.518564786743
18300.0	414.6730046776648	460.07063544053347	505.26530489092505	548.5514071862857
